student_id,student_name,subject,marks_obtained,max_marks
1,Rahul Sharma,Mathematics,42,100
1,Rahul Sharma,Physics,35,100
1,Rahul Sharma,Chemistry,38,100
1,Rahul Sharma,Biology,28,100
1,Rahul Sharma,English,45,100
2,Priya Patel,Mathematics,65,100
2,Priya Patel,Physics,58,100
2,Priya Patel,Chemistry,62,100
2,Priya Patel,Biology,55,100
2,Priya Patel,English,70,100
3,Arjun Kumar,Mathematics,88,100
3,Arjun Kumar,Physics,85,100
3,Arjun Kumar,Chemistry,90,100
3,Arjun Kumar,Biology,82,100
3,Arjun Kumar,English,87,100
4,Sneha Gupta,Mathematics,42,100
4,Sneha Gupta,Physics,35,100
4,Sneha Gupta,Chemistry,38,100
4,Sneha Gupta,Biology,28,100
4,Sneha Gupta,English,45,100
5,Vikash Singh,Mathematics,88,100
5,Vikash Singh,Physics,85,100
5,Vikash Singh,Chemistry,90,100
5,Vikash Singh,Biology,82,100
5,Vikash Singh,English,87,100
6,Anita Rao,Mathematics,65,100
6,Anita Rao,Physics,58,100
6,Anita Rao,Chemistry,62,100
6,Anita Rao,Biology,55,100
6,Anita Rao,English,70,100
7,Deepak Joshi,Mathematics,88,100
7,Deepak Joshi,Physics,85,100
7,Deepak Joshi,Chemistry,90,100
7,Deepak Joshi,Biology,82,100
7,Deepak Joshi,English,87,100
8,Kavya Nair,Mathematics,42,100
8,Kavya Nair,Physics,35,100
8,Kavya Nair,Chemistry,38,100
8,Kavya Nair,Biology,28,100
8,Kavya Nair,English,45,100
9,Rohit Agarwal,Mathematics,88,100
9,Rohit Agarwal,Physics,85,100
9,Rohit Agarwal,Chemistry,90,100
9,Rohit Agarwal,Biology,82,100
9,Rohit Agarwal,English,87,100
10,Meera Shah,Mathematics,65,100
10,Meera Shah,Physics,58,100
10,Meera Shah,Chemistry,62,100
10,Meera Shah,Biology,55,100
10,Meera Shah,English,70,100
11,Amit Verma,Mathematics,88,100
11,Amit Verma,Physics,85,100
11,Amit Verma,Chemistry,90,100
11,Amit Verma,Biology,82,100
11,Amit Verma,English,87,100
12,Pooja Kumar,Mathematics,42,100
12,Pooja Kumar,Physics,35,100
12,Pooja Kumar,Chemistry,38,100
12,Pooja Kumar,Biology,28,100
12,Pooja Kumar,English,45,100
13,Suresh Reddy,Mathematics,88,100
13,Suresh Reddy,Physics,85,100
13,Suresh Reddy,Chemistry,90,100
13,Suresh Reddy,Biology,82,100
13,Suresh Reddy,English,87,100
14,Divya Sharma,Mathematics,65,100
14,Divya Sharma,Physics,58,100
14,Divya Sharma,Chemistry,62,100
14,Divya Sharma,Biology,55,100
14,Divya Sharma,English,70,100
15,Karan Malhotra,Mathematics,42,100
15,Karan Malhotra,Physics,35,100
15,Karan Malhotra,Chemistry,38,100
15,Karan Malhotra,Biology,28,100
15,Karan Malhotra,English,45,100
